GCID,Category Name
aadhar_center,Aadhar-kaart centrum
abarth_dealer,Abarth-dealer
abbey,Abdij
aboriginal_and_torres_strait_islander_organisation,Organisatie voor Aboriginals en Straat Torres-eilanders
aboriginal_art_gallery,Galerie voor aboriginalkunst
abortion_clinic,Abortuskliniek
abrasives_supplier,Leverancier van schuurmiddelen
abundant_life_church,Abundant Life Church
acai_shop,Açaí winkel
acaraje_restaurant,Acarajé restaurant
accountant,Accountant
accounting_firm,Accountantskantoor
accounting_school,School voor accounting
acoustical_consultant,Akoestisch adviseur
acrobatic_diving_pool,Schoonspringbad
acrylic_store,Winkel voor acrylproducten
acupuncture_clinic,Acupunctuurkliniek
acupuncture_school,School voor acupunctuur
acupuncturist,Acupuncturist
acura_dealer,Acura-dealer
addiction_treatment_center,Verslavingskliniek
administrative_attorney,Bestuursrechtadvocaat
adoption_agency,Adoptiebureau
adult_day_care_center,Dagcentrum voor volwassenen
adult_dvd_store,Winkel voor erotische dvd's
adult_education_school,Volwassenenonderwijs
adult_entertainment_club,Sexclub
adult_entertainment_store,Sexshop
adult_foster_care_service,Verzorgingstehuis
adventure_sports,Avontuurlijke sporten
adventure_sports_center,Centrum voor avontuurlijke sporten
advertising_agency,Reclamebureau
advertising_photographer,Commercieel fotograaf
aerated_drinks_supplier,Leverancier van koolzuurhoudende dranken
aerial_installation_service,Antenneservice
aerial_photographer,Luchtfotograaf
aerial_sports_center,Luchtsportcentrum
aero_dance_class,Aerodanceschool
aerobics_instructor,Aerobicstudio
aeroclub,Vliegclub
aeromodel_shop,Vliegtuigmodelwinkel
aeronautical_engineer,Vliegtuigbouwkundig ingenieur
aerospace_company,Luchtvaart- en ruimtevaarttechniekbedrijf
afghani_restaurant,Afghaans restaurant
african_goods_store,Afrikaanse winkel
african_restaurant,Afrikaans restaurant
after_school_program,Naschoolse opvang
agenzia_entrate,Agenzia Entrate
aggregate_supplier,Granulaatleverancier
agistment_service,Service voor weiden van vee
agricultural_association,Landbouwbond
agricultural_cooperative,Landbouwcoöperatie
agricultural_engineer,Landbouwingenieur
agricultural_high_school,Middelbare landbouwschool
agricultural_machinery_manufacturer,Landbouwmachinefabrikant
agricultural_organization,Landbouworganisatie
agricultural_product_wholesaler,Groothandel voor landbouwproducten
agricultural_service,Loonwerker
agrochemicals_supplier,Leverancier van landbouwchemicaliën
aikido_club,Aikidoclub
aikido_school,Aikidoschool
air_ambulance_service,Luchtambulanceservice
air_compressor_repair_service,Reparatieservice voor compressors
air_compressor_supplier,Leverancier van compressors
air_conditioning_contractor,Aannemer airconditioning
air_conditioning_repair_service,Reparatieservice voor airco's
air_conditioning_store,Airconditioningwinkel
air_conditioning_system_supplier,Airconditioningleverancier
air_duct_cleaning_service,Schoonmaakservice voor luchtkanalen
air_filter_supplier,Leverancier van luchtfilters
air_force_base,Luchtmachtbasis
air_taxi,Luchttaxi
airbrushing_service,Airbrushservice
airbrushing_supply_store,Winkel voor airbrushmaterialen
aircraft_dealer,Vliegtuighandelaar
aircraft_maintenance_company,Vliegtuigonderhoudsbedrijf
aircraft_manufacturer,Vliegtuigfabrikant
aircraft_rental_service,Vliegtuigverhuurbedrijf
aircraft_supply_store,Winkel voor vliegtuigbenodigdheden
airline,Vliegmaatschappij
airline_ticket_agency,Vliegticketbureau
airplane_exhibit,Vliegtuig
airport,Luchthaven
airport_shuttle_service,Pendeldienst naar luchthaven
airsoft_gun_shop,Winkel voor airsoftbenodigdheden
airstrip,Landingsbaan
alcohol_manufacturer,Alcoholfabrikant
alcohol_retail_monopoly,Verkooppunt voor alcoholmonopolie
alcoholic_beverage_wholesaler,Groothandel in alcoholische dranken
alcoholism_treatment_program,Behandelingsprogramma voor alcoholisme
alfa_romeo_dealer,Alfa Romeo-dealer
algerian_restaurant,Algerijns restaurant
allergist,Allergoloog
alliance_church,Alliance Church
alsace_restaurant,Alsace-restaurant
alternative_fuel_station,Tankstation voor alternatieve brandstof
alternative_medicine_practitioner,Alternatieve genezer
alternator_supplier,Leverancier van dynamo's
aluminium_supplier,Aluminiumleverancier
aluminum_frames_supplier,Leverancier van aluminium frames
aluminum_welder,Lasbedrijf voor aluminium
aluminum_window,Aluminium vensters
amateur_theatre,Amateurtheater
ambulance_service,Ambulancedienst
american_grocery_store,Amerikaanse kruidenierswinkel
american_restaurant,Amerikaans restaurant
amish_furniture_store,Winkel voor Amish-meubelen
ammunition_supplier,Munitieleverancier
amphitheatre,Amfitheater
amusement_center,Amusementscentrum
amusement_machine_supplier,Leverancier van amusementsapparatuur
amusement_park,Pretpark
amusement_park_ride,Rit in pretpark
amusement_ride_supplier,Leverancier van attracties
an_hui_restaurant,Anhuirestaurant
anago_restaurant,Anago-restaurant
andalusian_restaurant,Andalusisch restaurant
andhra_restaurant,Andhra restaurant
anesthesiologist,Anesthesist
anganwadi_center,Anganwadi centrum
angler_fish_restaurant,Hengelvisrestaurant
anglican_church,Anglicaanse kerk
animal_cafe,Dierencafé
animal_control_service,Dierenbeheer
animal_hospital,Dierenkliniek
animal_park,Dierenpark
animal_protection_organization,Dierenbescherming
animal_rescue_service,Dierenwelzijnsorganisatie
animal_shelter,Dierenasiel
animal_watering_hole,Drinkplaats voor dieren
animation_studio,Animatiestudio
anime_club,Animeclub
anodizer,Bedrijf gespecialiseerd in anodiseren
antique_furniture_restoration_service,Restauratie van antieke meubelen
antique_furniture_store,Winkel voor antiek meubilair
antique_store,Antiekwinkel
apartment_building,Woningverhuur
apartment_complex,Appartementencomplex
apartment_rental_agency,Huurwoningen
apostolic_church,Apostolische kerk
appliance_parts_supplier,Leverancier van onderdelen voor huishoudelijke apparaten
appliance_rental_service,Verhuurder van witgoed
appliance_repair_service,Reparatieservice voor huishoudapparatuur
appliance_store,Winkel huishoudapparatuur
appliances_customer_service,Klantenservice voor huishoudelijke apparatuur
applied_behavior_analysis_therapist,Therapeut voor toegepaste gedragsanalyse
appraiser,Taxateur
apprenticeship_center,Stagebureau
aquaculture_farm,Aquacultuurkwekerij
aquarium,Aquarium
aquarium_shop,Aquariumwinkel
aquatic_center,Zwembadcomplex
arab_restaurant,Arabisch restaurant
arboretum,Arboretum
arborist_and_tree_surgeon,Boomverzorgingsservice
archaeological_museum,Archeologisch museum
archery_club,Boogschietclub
archery_range,Boogschietbaan
archery_store,Handboogwinkel
architect,Architect
architects_association,Architectenvereniging
architectural_and_engineering_model_maker,Maquettemaker
architectural_designer,Architectonisch ontwerper
architectural_salvage_store,Winkel voor antieke bouwmaterialen
architecture_firm,Architectenbureau
architecture_school,Architectuurschool
archive,Archief
arena,Stadion
argentinian_restaurant,Argentijns restaurant
armed_forces_association,Krijgsmachtorganisatie
armenian_church,Armeense kerk
armenian_restaurant,Armeens restaurant
army_and_navy_store,Marine- en legerdump
army_base,Legerbarakken
army_facility,Kazerne
army_museum,Legermuseum
aromatherapy_class,Aromatherapiecursus
aromatherapy_service,Aromatherapie
aromatherapy_supply_store,Winkel voor aromatherapieartikelen
art_cafe,Kunstcafé
art_center,Kunstcentrum
art_dealer,Kunsthandelaar
art_gallery,Kunstgalerie
art_museum,Kunstmuseum
art_restoration_service,Kunstrestauratie
art_school,Kunstacademie
art_studio,Kunstatelier
art_supply_store,Winkel voor kunstenaarsbenodigdheden
artificial_plant_supplier,Leverancier van kunstplanten
artist,Kunstenaar
arts_organization,Kunstorganisatie
asador,Grillrestaurant
asbestos_testing_service,Asbestonderzoek
ashram,Ashram
asian_fusion_restaurant,Aziatisch fusion-restaurant
asian_grocery_store,Aziatische kruidenierswinkel
asian_household_goods_store,Aziatisch woonwarenhuis
asian_restaurant,Aziatisch restaurant
asphalt_contractor,Asfaltaannemer
asphalt_mixing_plant,Asfaltmenginstallatie
assamese_restaurant,Aramees restaurant
assemblies_of_god_church,Kerk van de Assemblies of God
assistante_maternelle,Kinderopvang
assisted_living_facility,Woonzorgcomplex
association_or_organization,Vereniging/organisatie
aston_martin_dealer,Aston Martin-dealer
astrologer,Astroloog
asturian_restaurant,Asturisch restaurant
asylum_center,Asielzoekerscentrum
athletic_club,Sportclub
athletic_field,Atletiekbaan
athletic_park,Sportpark
atm,Pinautomaat
attorney_referral_service,Dienst die verwijst naar advocaten
atv_dealer,Quad-dealer
atv_rental_service,Quad-verhuurder
atv_repair_shop,Quad-garage
auction_house,Veilinghuis
audi_dealer,Audi-dealer
audio_visual_consultant,Audiovisuele adviseur
audio_visual_equipment_rental_service,Verhuurder van audiovisuele apparatuur
audio_visual_equipment_repair_service,Reparatieservice voor audiovisuele apparatuur
audio_visual_equipment_supplier,Leverancier van audiovisuele apparatuur
audiologist,Oorarts
auditor,Auditbureau
auditorium,Auditorium
australian_goods_store,Winkel voor Australische producten
australian_restaurant,Australisch restaurant
austrian_restaurant,Oostenrijks restaurant
auto_accessories_wholesaler,Groothandel in autoaccessoires
auto_air_conditioning_service,Onderhoudsbedrijf voor auto-airconditioning
auto_auction,Autoveiling
auto_body_parts_supplier,Leverancier van carrosserieonderdelen
auto_body_shop,Autoschadebedrijf
auto_bodywork_mechanic,Plaatwerker
auto_broker,Automakelaar
auto_care_products_store,Winkel voor autoverzorgingsproducten
auto_dent_removal_service,Uitdeukservice
auto_electrical_service,Garage (elektrische auto-onderdelen)
auto_glass_repair_service,Autoruitenherstelbedrijf
auto_glass_shop,Autoruitreparatie
auto_insurance_agency,Autoverzekering
auto_machine_shop,Autowerkplaats
auto_market,Automarkt
auto_painting,Autospuiterij
auto_parts_manufacturer,Fabrikant van auto-onderdelen
auto_parts_market,Markt voor auto-onderdelen
auto_parts_store,Automaterialenwinkel
auto_radiator_repair_service,Reparatieservice voor autoradiateurs
auto_repair_shop,Autobedrijf/Garage
auto_restoration_service,Autorestauratie
auto_rickshaw_stand,Tuktukstandplaats
auto_spring_shop,Winkel voor autoschokbrekers
auto_sunroof_shop,Winkel voor autoschuifdaken
auto_tag_agency,Autoregistratiebedrijf
auto_tune_up_service,Tuningservice voor auto's
auto_upholsterer,Autostoffeerder
auto_window_tinting_service,Service voor het tinten van autoruiten
auto_wrecker,Autosloper
automation_company,Automatiseringsbedrijf
automobile_storage_facility,Opslag van auto's
aviation_consultant,Luchtvaartadviseur
aviation_training_institute,Vlieglesinstituut
awadhi_restaurant,Awadhi restaurant
awning_supplier,Leverancier van luifels
